event_category,event_action,event_label,total_events,unique_events
city_landing,search-tools-button_open,Cyprus / Обзорные,2,2
city_landing,search-tools-button_open,Cyprus / Фильтры Выбрано: 0,6,6
city_landing,filters-categories_click,Nalchik / ЭКСКУРСИИ ИЗ НАЛЬЧИКА,21,14
city_landing,price_button_submit,Cairo / Показать предложения (14),4,4
city_landing,price_button_submit,Volgograd / Показать предложения (36),1,1
city_landing,search-tools-button_open,Krasnodar / Лаго-Наки,1,1
city_landing,search-tools-button_open,Kabardinka / Сортировка,1,1
city_landing,price_button_submit,Adler / Показать предложения (68),2,2
city_landing,search-tools-button_open,Moscow / Автобусные,6,6
city_landing,price_button_submit,Marmaris / Показать предложения (43),7,7
City Page,Page Visit,Greifswald,2,2
city_landing,price_button_submit,Pitsunda / Показать предложения (6),5,5
city_landing,filters-categories_click,Yerevan / Озеро Севан,58,39
city_landing,price_button_submit,Istanbul / Показать предложения (164),5,5
city_landing,search-tools-button_open,Minsk / Сначала самые популярные,3,2
city_landing,search-tools-button_open,Phuket / На материке,1,1
city_landing,search-tools-button_open,Prague / Сортировка По рейтингу,5,5
city_landing,price_button_submit,Almaty / Показать предложения (14),1,1
city_landing,price_button_submit,Anapa / Показать предложения (43),13,10
city_landing,search-tools-button_open,Antalya / Сортировка По рейтингу,13,13
city_landing,filters-categories_click,Svetlogorsk / Выездные,2,2
city_landing,price_button_submit,Pyatigorsk / Показать предложения (13),13,11
city_landing,filters-categories_click,Vologda / По рейтингу,7,6
city_landing,price_button_submit,Alushta / Показать предложения (49),21,19
city_landing,price_button_submit,Sharm-el-Sheikh / Показать предложения (44),10,8
city_landing,price_button_submit,Minsk / Показать предложения (51),6,6
city_landing,filters-categories_click,Penza / Автобусные,5,2
city_landing,price_button_submit,Tula / Показать предложения (43),15,12
city_landing,search-tools-button_open,Ayia Napa / Все,46,44
city_landing,price_button_submit,Saint Petersburg / Показать предложения (205),8,5
city_landing,price_first,Veliky Novgorod,64,46
city_landing,search-tools-button_open,Irkutsk / Фильтры Выбрано: 0,5,5
city_landing,price_button_submit,Haifa / Показать предложения (6),1,1
city_landing,price_button_submit,Rome / Показать предложения (35),9,9
city_landing,price_button_submit,Volgograd / Показать предложения (35),5,5
city_landing,search-tools-button_open,Palermo / Сначала самые дешевые,1,1
city_landing,price_button_submit,Sochi / Показать предложения (251),3,3
city_landing,end_date_click,Miami,3,3
city_landing,search-tools-button_open,Porto / Все,2,2
city_landing,start_date_click,Tashkent,4,3
